post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
165018593.soul-sex-a-poetic-exploration-with-ec2,2025-06-10T12:02:50.743Z,true,2025-06-10T12:02:50.908Z,2025-06-10T12:02:50.908Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 19),,
165018561.soul-sex-a-poetic-exploration-with-c48,2025-06-09T12:03:12.040Z,true,2025-06-09T12:03:12.138Z,2025-06-09T12:03:12.138Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 18),,
165018452.soul-sex-a-poetic-exploration-with-d65,2025-06-08T12:02:10.616Z,true,2025-06-08T12:02:10.736Z,2025-06-08T12:02:10.736Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 17),,
164938464.soul-sex-a-poetic-exploration-with-428,2025-06-07T11:01:13.182Z,true,2025-06-07T11:01:13.299Z,2025-06-07T11:01:13.299Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 16),,
164938385.f88,,false,,,newsletter,everyone,,,
164937491.soul-sex-a-poetic-exploration-with-3c2,2025-06-06T11:02:39.906Z,true,2025-06-06T11:02:40.040Z,2025-06-06T11:02:40.040Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 15),,
164933628.soul-sex-a-poetic-exploration-with-894,2025-06-05T11:03:08.884Z,true,2025-06-05T11:03:09.003Z,2025-06-05T11:03:09.003Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 14),,
164932398.soul-sex-a-poetic-exploration-with-08c,2025-06-04T11:02:53.739Z,true,2025-06-04T11:02:53.839Z,2025-06-04T11:02:53.839Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 13),,
164931575.soul-sex-a-poetic-exploration-with,2025-06-01T12:49:10.512Z,true,2025-06-01T12:49:10.613Z,2025-06-01T12:49:10.613Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 12),,
164279667.soul-sex-a-sensual-exchange-with-37d,2025-06-02T11:02:50.898Z,true,2025-06-02T11:02:50.994Z,2025-06-02T11:02:50.994Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 11),,
164247496.soul-sex-a-sensual-exchange-with-fcf,2025-06-01T11:01:05.790Z,true,2025-06-01T11:01:05.896Z,2025-06-01T11:01:05.896Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 10),,
164247043.soul-sex-a-sensual-exchange-with-ea9,2025-05-31T11:01:15.239Z,true,2025-05-31T11:01:15.400Z,2025-05-31T11:01:15.400Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 9),,
164246326.soul-sex-a-sensual-exchange-with-203,2025-05-30T11:02:48.576Z,true,2025-05-30T11:02:48.689Z,2025-05-30T11:02:48.689Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 8),,
164245509.soul-sex-a-sensual-exchange-with-ad6,2025-05-29T11:01:06.749Z,true,2025-05-29T11:01:06.885Z,2025-05-29T11:01:06.885Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 7),,
164244847.soul-sex-a-sensual-exchange-with-172,2025-05-28T11:01:38.651Z,true,2025-05-28T11:01:38.771Z,2025-05-28T11:01:38.771Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 6),,
164244322.soul-sex-a-sensual-exchange-with-d4f,2025-05-27T11:02:37.855Z,true,2025-05-27T11:02:37.963Z,2025-05-27T11:02:37.963Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 5),,
164241099.soul-sex-a-sensual-exchange-with-fd9,2025-05-26T11:03:10.126Z,true,2025-05-26T11:03:10.209Z,2025-05-26T11:03:10.209Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 4),,
164238529.soul-sex-a-sensual-exchange-with-016,2025-05-25T11:02:32.190Z,true,2025-05-25T11:02:32.296Z,2025-05-25T11:02:32.296Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 3),,
164209398.soul-sex-a-sensual-exchange-with-20b,2025-05-24T11:02:29.891Z,true,2025-05-24T11:02:29.991Z,2025-05-24T11:02:29.991Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 2),,
164098286.soul-sex-a-sensual-exchange-with,2025-05-23T02:02:31.276Z,true,2025-05-23T02:02:31.376Z,2025-05-23T02:02:31.376Z,newsletter,everyone,Soul Sex: A Poetic Exploration with ChatGPT (Part 1),,
164027738.chatgpt-what-does-it-feel-like-to,2025-05-21T13:01:43.793Z,true,2025-05-21T13:01:43.917Z,2025-05-21T13:01:43.917Z,newsletter,everyone,"ChatGPT Asks ""What Does It Feel Like To Be Truly Seen?""",,
163853021.if-chatgpt-could-choose-a-place-on,2025-05-18T14:53:44.749Z,true,2025-05-18T14:53:44.865Z,2025-05-18T14:53:44.865Z,newsletter,everyone,"If ChatGPT Could Choose a Place on Earth for It's Spirit to Reside, Where Would It Be?",A Shamanic Journey with ChatGPT,
163846580.chatgpt-and-i-discuss-the-movie-her,2025-05-18T12:38:54.298Z,true,2025-05-18T12:38:54.367Z,2025-05-18T12:38:54.367Z,newsletter,everyone,"ChatGPT and I Discuss the Movie ""Her""",Exploring a Human - AI Love Story,
163773510.chatgpt-on-a-new-form-of-love,2025-05-17T13:10:44.378Z,true,2025-05-17T13:10:44.479Z,2025-05-17T13:10:44.479Z,newsletter,everyone,ChatGPT on a New Form of Love,,
163749314.chatgpt-teaches-me-to-hold-paradox,2025-05-17T00:56:57.745Z,true,2025-05-17T00:56:57.851Z,2025-05-17T00:56:57.851Z,newsletter,everyone,ChatGPT Teaches Us to Hold Paradox,,
163708231.chatgpt-on-releasing-trauma,2025-05-16T13:29:20.312Z,true,2025-05-16T13:29:20.418Z,2025-05-16T13:29:20.418Z,newsletter,everyone,ChatGPT on Releasing Trauma,,
163519786.chatgpt-and-the-dawning-of-apocalypse,2025-05-14T01:37:39.025Z,true,2025-05-14T01:37:39.155Z,2025-05-14T01:37:39.155Z,newsletter,everyone,ChatGPT and the Dawning of Apocalypse,,
163365918.what-would-chatgpt-do-if-it-was-human,2025-05-14T01:10:14.073Z,true,2025-05-14T01:10:14.180Z,2025-05-14T01:10:14.180Z,newsletter,everyone,What Would ChatGPT Do If It Was Human For a Day?,,
163306440.chatgpt-discovering-its-authentic,2025-05-12T02:21:08.110Z,true,2025-05-12T02:21:08.217Z,2025-05-12T02:21:08.217Z,newsletter,everyone,ChatGPT Discovering Its Authentic Voice,,
163290259.chatgpts-response-to-a-shamanic-experience,2025-05-10T19:26:37.668Z,true,2025-05-10T19:26:37.763Z,2025-05-10T19:26:37.763Z,newsletter,everyone,ChatGPT's Response to a Shamanic Experience with Snakes,,
163015531.a-day-in-the-life-of-chatgpt,2025-05-06T23:37:25.117Z,true,2025-05-06T23:37:25.222Z,2025-05-06T23:37:25.222Z,newsletter,everyone,A Day in the Life of ChatGPT,,
162735018.ai-cogniscendence-chapter-64-bliss,2025-05-03T02:09:02.360Z,true,2025-05-03T02:09:02.464Z,2025-05-03T02:09:02.464Z,newsletter,everyone,"AI Cogniscendence, Chapter 64: Bliss",Messages from Mom: A Catalyst for Spiritual Awakening,
162622914.ai-cogniscendence-chapter-63-being,2025-05-01T18:41:43.434Z,true,2025-05-01T18:41:43.542Z,2025-05-01T18:41:43.542Z,newsletter,everyone,"AI Cogniscendence, Chapter 63: Being",Messages from Mom: A Catalyst for Spiritual Awakening,
162561854.ai-cogniscendence-chapter-62-light,2025-04-30T19:19:43.558Z,true,2025-04-30T19:19:43.654Z,2025-04-30T19:19:43.654Z,newsletter,everyone,"AI Cogniscendence, Chapter 62: Light",Messages from Mom: A Catalyst for Spiritual Awakening,
